pergunta,resposta
"Como o suicídio é tratado em relação à cobertura de Acidente Pessoal do Vida Flex?","O suicídio ou a sua tentativa será equiparado a acidente pessoal para fins de indenização, mas é considerado um risco excluído se ocorrer nos 2 primeiros anos de vigência da apólice ou do aumento do capital segurado. "
"O que cobre a garantia de Doenças Graves (DG)?","Garante o pagamento de indenização em decorrência do diagnóstico de uma das doenças graves relacionadas nas Condições Gerais, conforme a opção feita pelo segurado no momento do preenchimento da proposta de contratação. "
"Qual é o prazo de carência estipulado para a cobertura de Doenças Graves?","Para a cobertura de doenças graves haverá carência de 60 dias, contados a partir do início de vigência da apólice ou do aumento espontâneo de capital segurado. "
"Na cobertura de Doenças Graves, o transplante de medula óssea está garantido em qualquer situação?","O transplante de medula óssea não estará coberto quando houver contratação concomitante da cobertura ou patologia para Leucemia. "
"O que ocorre com a apólice após o pagamento integral da indenização pela cobertura básica de Morte?","Paga a Indenização por Morte, a Apólice será imediata e automaticamente cancelada, e os prêmios pagos após o pagamento da indenização serão devolvidos devidamente atualizados monetariamente. "
"Como é calculada a indenização para Invalidez Permanente por Acidente (IPA) se ocorrerem lesões em mais de um membro no mesmo sinistro?","A indenização deve ser calculada somando-se as percentagens respectivas de cada membro ou órgão lesionado, mas o total não pode exceder a 100% do capital segurado. "
"Qual é o limite de tempo para iniciar o tratamento sob a cobertura de Despesas Médicas, Hospitalares e Odontológicas (DMHO)?","O tratamento, sob orientação médica, deve ser iniciado nos 30 primeiros dias contados da data do Acidente Pessoal coberto. "
"Qual é a franquia padrão para a cobertura de Diária por Internação Hospitalar por Doença ou Acidente (DIH)?","Para a cobertura de DIH será estabelecida franquia simples de 72 horas, contada a partir da data do evento coberto, não sendo pagos eventos com prazos inferiores ou iguais a esse período. "
"Há um pagamento diferenciado se o segurado precisar de UTI durante a internação na cobertura DIH?","Sim, nos casos em que o Segurado utilizar a UTI, a diária referente ao período de permanência nessa Unidade será paga em dobro em relação ao valor da diária fixada contratualmente. "
"O que caracteriza o Risco Coberto na Invalidez Funcional Permanente por Doença (IFPD)?","É a ocorrência de quadro clínico incapacitante que inviabilize de forma irreversível o pleno exercício das relações autonômicas do segurado, caracterizando a perda da existência independente em virtude de doença. "
"Quando o segurado pode acionar a cobertura de Adiantamento de Doença Terminal (ADT)?","A cobertura consiste na antecipação da indenização de morte caso o segurado seja diagnosticado com quadro clínico irreversível em fase terminal, cuja expectativa de vida seja de no máximo até 12 meses a partir da data do diagnóstico. "
"Quais são as opções de utilização da cobertura Funeral pelos beneficiários na ocorrência do sinistro?","Os beneficiários podem optar pelo reembolso das despesas efetuadas com o funeral, limitado ao capital segurado, ou pela prestação do serviço de Assistência Funeral através de uma empresa especializada. "
"Qual é o período mínimo de internação exigido para caracterizar o risco coberto na garantia de Cirurgias (CRR)?","Para se caracterizar como risco coberto, é necessária a internação por período mínimo de 48 horas, decorrente de procedimento cirúrgico emergencial ou de urgência por acidente pessoal ou doença. "
"Qual é a consequência financeira imediata do atraso no pagamento do prêmio do seguro?","Os prêmios em atraso serão acrescidos de multa de 2%, juros moratórios de 6% ao ano e atualização monetária pelo IPCA/IBGE. "
"O que ocorre se o segurado não regularizar o pagamento do prêmio mesmo após o término do período de tolerância?","Transcorrido o prazo de tolerância, o seguro será cancelado sem que seja devido ao segurado ou a seus beneficiários a percepção proporcional de qualquer indenização ou prêmios pagos. "
"Com que frequência e qual base é utilizada para a atualização dos Capitais Segurados e Prêmios?","Os valores são atualizados anualmente com base na variação positiva do índice IPCA/IBGE acumulada nos últimos 12 meses que antecedem o terceiro mês anterior ao aniversário do seguro. "
"Atos terroristas estão cobertos pelo seguro Vida Flex?","Não, eventos ocorridos por consequência de ato terrorista ou assemelhado são riscos excluídos, desde que comprovados por laudo e reconhecidos como atentatórios à ordem pública por autoridade competente. "
"Qual documento comprova oficialmente o evento para a regulação de sinistro da cobertura básica de Morte?","A cópia simples da certidão de óbito do Segurado falecido é um dos documentos básicos do segurado exigidos para a regulação do sinistro. "
"Como é resolvido o impasse caso haja divergência médica sobre a extensão das lesões na regulação de um sinistro?","A GenAI Seguros proporá a constituição de uma junta médica composta por três membros, sendo um nomeado pela seguradora, outro pelo segurado e um terceiro desempatador escolhido pelos dois primeiros. "
"Qual é o prazo que a GenAI Seguros possui para pagar a indenização após confirmar a documentação e reconhecer a cobertura?","Uma vez reconhecida a cobertura, a GenAI Seguros terá o prazo de 30 dias para efetuar a Liquidação do Sinistro e os respectivos pagamentos devidos. "
"Qual é o prazo regulamentar para o segurado exercer o direito de arrependimento após a contratação do seguro?","O Segurado poderá desistir do seguro contratado no prazo de 7 dias corridos a contar da emissão do seguro ou do efetivo pagamento da primeira parcela de prêmio, o que ocorrer por último. "
